fix_acid,vol_acid
7.4,0.7
7.8,0.88
7.8,0.76
11.2,0.28
7.4,0.7
7.4,0.66
7.9,0.6
7.3,0.65
7.8,0.58
7.5,0.5
6.7,0.58
7.5,0.5
5.6,0.615
7.8,0.61
8.9,0.62
8.9,0.62
8.5,0.28
8.1,0.56
7.4,0.59
7.9,0.32
8.9,0.22
7.6,0.39
7.9,0.43
8.5,0.49
6.9,0.4
6.3,0.39
7.6,0.41
7.9,0.43
7.1,0.71
7.8,0.645
6.7,0.675
6.9,0.685
8.3,0.655
6.9,0.605
5.2,0.32
7.8,0.645
7.8,0.6
8.1,0.38
5.7,1.13
7.3,0.45
7.3,0.45
8.8,0.61
7.5,0.49
8.1,0.66
6.8,0.67
4.6,0.52
7.7,0.935
8.7,0.29
6.4,0.4
5.6,0.31
8.8,0.66
6.6,0.52
6.6,0.5
8.6,0.38
7.6,0.51
7.7,0.62
10.2,0.42
7.5,0.63
7.8,0.59
7.3,0.39
8.8,0.4
7.7,0.69
7.5,0.52
7.0,0.735
7.2,0.725
7.2,0.725
7.5,0.52
6.6,0.705
9.3,0.32
8.0,0.705
7.7,0.63
7.7,0.67
7.7,0.69
8.3,0.675
9.7,0.32
8.8,0.41
8.8,0.41
6.8,0.785
6.7,0.75
8.3,0.625
6.2,0.45
7.8,0.43
7.4,0.5
7.3,0.67
6.3,0.3
6.9,0.55
8.6,0.49
7.7,0.49
9.3,0.39
7.0,0.62
7.9,0.52
8.6,0.49
8.6,0.49
7.7,0.49
5.0,1.02
4.7,0.6
6.8,0.775
7.0,0.5
7.6,0.9
8.1,0.545
8.3,0.61
7.8,0.5
8.1,0.545
8.1,0.575
7.2,0.49
8.1,0.575
7.8,0.41
6.2,0.63
8.0,0.33
8.1,0.785
7.8,0.56
8.4,0.62
8.4,0.6
10.1,0.31
7.8,0.56
9.4,0.4
8.3,0.54
7.8,0.56
8.8,0.55
7.0,0.69
7.3,1.07
8.8,0.55
7.3,0.695
8.0,0.71
7.8,0.5
9.0,0.62
8.2,1.33
8.1,1.33
8.0,0.59
6.1,0.38
8.0,0.745
5.6,0.5
5.6,0.5
6.6,0.5
7.9,1.04
8.4,0.745
8.3,0.715
7.2,0.415
7.8,0.56
7.8,0.56
8.4,0.745
8.3,0.715
5.2,0.34
6.3,0.39
5.2,0.34
8.1,0.67
5.8,0.68
7.6,0.49
6.9,0.49
8.2,0.4
7.3,0.33
9.2,0.52
7.5,0.6
7.5,0.6
7.1,0.43
7.1,0.43
7.1,0.43
7.1,0.43
7.1,0.68
6.8,0.6
7.6,0.95
7.6,0.68
7.8,0.53
7.4,0.6
7.3,0.59
7.8,0.63
6.8,0.64
7.3,0.55
6.8,0.63
7.5,0.705
7.9,0.885
8.0,0.42
8.0,0.42
7.4,0.62
7.3,0.38
6.9,0.5
7.3,0.38
7.5,0.52
7.0,0.805
8.8,0.61
8.8,0.61
8.9,0.61
7.2,0.73
6.8,0.61
6.7,0.62
8.9,0.31
7.4,0.39
7.7,0.705
7.9,0.5
7.9,0.49
8.2,0.5
6.4,0.37
6.8,0.63
7.6,0.55
7.6,0.55
7.8,0.59
7.3,0.58
11.5,0.3
5.4,0.835
6.9,1.09
9.6,0.32
8.8,0.37
6.8,0.5
7.0,0.42
7.0,0.43
12.8,0.3
12.8,0.3
7.8,0.57
7.8,0.44
11.0,0.3
9.7,0.53
8.0,0.725
11.6,0.44
